SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
17962844060030706e3,1,12545,12508.089737179524,1,0,1,0,0.11774587634205821,0,0.25376266453029783,0,0,1,0,1,0.8706078886836768,1,0.7211376911286131,1,1,1,0.26618761493048665,0.11433659643145268,332,0.07611774717470808,3.695847564951018e-4,0.0679976746449558,0.0689860236110099,0.09338019171453192,300,0,300,0,200,0,200,0,11995,2035,5306,4654
12092e15,1,12587,12510.656081850851,1,0,1,0,0.09667880147345123,0,0.21633078349504956,0,0,1,0,1,0.885825403756637,1,0.7445202103861388,1,1,1,0.3071345886188364,0.11598374498493222,317,0.06515146475927819,3.901872877317691e-4,0.05290649241240267,0.1258062423567748,0.07818317548230089,166,0,166,0,167,0,167,0,12171,2119,5264,4788
12092e15,3,12562,12514.061548508458,1,0,1,0,0.07779192827753303,0,0.1731251737156864,0,0,1,0,1,0.864525537136564,1,0.6985029110784313,1,0,1,0.2905161426392493,0.12848584600982807,318,0.06633763514243692,6.569950236957815e-4,0.05482371505605358,0.10455241087902507,0.07923042136563875,333,0,333,0,401,0,401,0,11762,2102,4905,4755
146505e14,4,12604,12515.911692602846,1,0,1,0,0.09149747843805328,0,0.204736931950495,0,0,1,0,1,0.8783959526415929,1,0.7278958940297029,1,0,0,0.30218491672446296,0.07782099871467837,318,0.08729247003960436,7.338588809387351e-4,0.07655887432288641,0.07761713094319847,0.09968462363318582,334,0,334,0,417,0,417,0,11770,2110,4855,4805
1686956066918641200,7,12561,12519.14036977348,0.991927981376648,0,0.991927981376648,0,0.10532924376428143,0,0.2289766168788721,0,0,1,0,1,0.8425034562796352,1,0.6576162093035555,1,1,1,0.2696633619169322,0.18188942102597305,332,0.08939229997167328,6.299668376003839e-4,0.07855121341934593,0.08254372739541202,0.107638967000821,400,0,400,0,1601,0,1601,0,10494,2052,3755,4687
4131079224770729500,5,12562,12521.996771288606,0.7712062001228333,0,0.7712062001228333,0,0.0943657287787044,0,0.20710354634618358,0,0,1,0,1,0.8088865340537118,1,0.580565136684253,1,0,1,0.27383406921048564,0.14407167203615784,331,0.07724010079654357,7.243707790003829e-4,0.06520832015154492,0.09152940571593728,0.09422396844239553,600,0,600,0,2152,0,2152,0,9744,2052,2904,4788
146505e14,3,12587,12527.45996893885,1,0,1,0,0.06973731957268728,0,0.1583037154300001,0,0,1,0,1,0.8899165880572689,1,0.75011065489,1,0,0,0.2774038599766697,0.11766870197111803,317,0.13350204225554443,6.967741055330687e-4,0.12169151092009522,0.08371658527069975,0.15880306124669602,267,0,267,0,567,0,567,0,11687,2119,4705,4863
10419879221391935e3,2,12606,12535.681545675036,1,0,1,0,0.10922058719206615,0,0.23838580334963994,0,0,1,0,1,0.8653356494359757,1,0.7060804174646087,1,1,1,0.27355556245230855,0.1200047611791159,330,0.07284393663765673,5.845567867283951e-4,0.06331154178062484,0.12489009438700267,0.08979158768158108,250,0,250,0,450,0,450,0,11840,2052,5016,4772
103535e14,2,12628,12535.75501107248,1,0,1,0,0.0811892321096492,0,0.17971985360194184,0,0,1,0,1,0.887105448991228,1,0.7500974987378642,1,1,1,0.2874139583571151,0.2071815154946511,315,0.06529785507000124,2.1502843289279903e-4,0.05710986296421831,0.14363704723702633,0.07922022926754384,351,0,351,0,601,0,601,0,11610,2119,4737,4754
13253e15,5,12579,12538.58691854206,1,0,1,0,0.0796460176991149,0,0.17821782178217813,0,0,1,0,1,0.893530206606195,1,0.7617606603267327,1,1,1,0.29154555911612856,0.18017988557188117,315,0.07089645679419977,2.4305090211092853e-5,0.06296847569066544,0.08069170120885658,0.08651729788893803,417,0,417,0,601,0,601,0,11495,2119,4587,4789
