"SESSION_IDENTIFIER","LAP_NUM","CURRENT_LAP_TIME_MS","NORMALISED_LAP_TIME_MS","maxBrake","maxBrake_S1","maxBrake_S2","maxBrake_S3","aveBrake","aveBrake_S1","aveBrake_S2","aveBrake_S3","minThrottle","minThrottle_S1","minThrottle_S2","minThrottle_S3","aveThrottle","aveThrottle_S1","aveThrottle_S2","aveThrottle_S3","firstBrakeDist","firstBrakeLateral","firstBrakeSpeed","timeDecreasingThrottle","timeDecreasingThrottle_S1","timeDecreasingThrottle_S2","timeDecreasingThrottle_S3","timeIncreasingThrottle","timeIncreasingThrottle_S1","timeIncreasingThrottle_S2","timeIncreasingThrottle_S3","timeSameThrottle","timeSameThrottle_S1","timeSameThrottle_S2","timeSameThrottle_S3","FROM_2022"
10419879221391935488,2,12606,12535.7045355696,1,0,1,0,0.109220587192066,0,0.236330753320764,0,0,1,0,1,0.865335649435976,1,0.708614206969224,1,0.281476649923711,0.120004761179116,330,250,0,250,0,450,0,450,0,11790,1902,5100,4788,FALSE
10353505354241650688,2,12628,12535.7698971652,1,0,1,0,0.0811892321104545,0,0.179719853603724,0,0,1,0,1,0.887105448988446,1,0.750097498731706,1,0.295272264791429,0.207181516764555,315,351,0,351,0,601,0,601,0,11560,2019,4737,4804,TRUE
13252952924527083520,5,12579,12536.5284735083,1,0,1,0,0.0796460176991149,0,0.174757281553398,0,0,1,0,1,0.893530206606452,1,0.766386666922893,1,0.299372116992152,0.180179885588679,315,417,0,417,0,601,0,601,0,11445,1969,4687,4789,TRUE
11440267201681186816,3,12595,12548.6748908123,1,0,1,0,0.113622263771478,0,0.248174944553491,0,0,1,0,1,0.853305972948012,1,0.679589361965395,1,0.288860662921883,0.13729968901766,333,400,0,400,0,401,0,401,0,11661,1902,4904,4855,FALSE
13699752332234096640,3,12645,12553.5299835607,1,0,1,0,0.0950502025052194,0,0.204723513088165,0,0,1,0,1,0.849263328696705,1,0.675336400269825,1,0.275845972282874,0.12195959847166,332,100,0,100,0,951,0,951,0,11494,1902,4788,4804,FALSE
17849857623809574912,7,12612,12555.1210357943,0.838132321834564,0,0.838132321834564,0,0.0896837582683514,0,0.197784716895382,0,0,1,0,1,0.797935397884533,1,0.554375386406069,1,0.279795523313551,0.130999771524313,332,402,0,402,0,2152,0,2152,0,9958,1952,3151,4855,FALSE
4486621736790789120,7,12612,12556.8984836685,1,0,1,0,0.113956685560158,0,0.246578690306894,0,0,1,0,1,0.858803736795467,1,0.694480499445364,1,0.283336426323178,0.143486086259828,331,200,0,200,0,350,0,350,0,11946,1902,5242,4802,FALSE
15669462528722278400,2,12595,12557.1005730137,1,0,1,0,0.111524056865874,0,0.239252463874654,0,0.0498054474592209,1,0.0498054474592209,1,0.826439447181515,1,0.627660694380856,1,0.267701360481124,0.144120964520137,336,951,0,951,0,1902,0,1902,0,9659,1902,3003,4754,FALSE
1686956066918641152,1,12645,12564.8484466685,0.982406318187714,0,0.982406318187714,0,0.0949782065396747,0,0.204568444854684,0,0,1,0,1,0.808624556214208,1,0.587806736461372,1,0.276234528888623,0.142179367463856,333,351,0,351,0,1301,0,1301,0,10893,1901,4188,4804,FALSE
12325177004376346624,2,12662,12573.08312414,1,0,1,0,0.113797348393387,0,0.248375082145567,0,0,1,0,1,0.860029744199548,1,0.694499702557274,1,0.280708027926002,0.130977009365593,332,450,0,450,0,550,0,550,0,11562,1952,4805,4805,FALSE
