SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
1686956066918641200,7,12561,12519.14036977348,0.991927981376648,0,0.991927981376648,0,0.10286058961355593,0,0.2289766168788721,0,0,1,0,1,0.8461947815230815,1,0.6576162093035555,1,1,1,0.2696633619169322,0.18188942102597305,332,0.08976071764838968
4131079224770729500,5,12562,12521.996771288606,0.7712062001228333,0,0.7712062001228333,0,0.09213661707527039,0,0.20710354634618358,0,0,1,0,1,0.8134010253752783,1,0.580565136684253,1,0,1,0.27383406921048564,0.14407167203615784,331,0.07792832259609413
146505e14,3,12587,12527.45996893885,1,0,1,0,0.0679415087682403,0,0.1583037154300001,0,0,1,0,1,0.8927513540300428,1,0.75011065489,1,0,0,0.2774038599766697,0.11766870197111803,317,0.1340532109728656
10419879221391935e3,2,12606,12535.681545675036,1,0,1,0,0.1066706902148193,0,0.23838580334963994,0,0,1,0,1,0.8684795642351363,1,0.7060804174646087,1,1,1,0.27355556245230855,0.1200047611791159,330,0.07454643473651855
103535e14,2,12628,12535.75501107248,1,0,1,0,0.07944697390987142,0,0.17971985360194184,0,0,1,0,1,0.8895280788412016,1,0.7500974987378642,1,1,1,0.2874139583571151,0.2071815154946511,315,0.06590792632803745
13253e15,5,12579,12538.58691854206,1,0,1,0,0.07758620689655181,0,0.17821782178217813,0,0,1,0,1,0.8962837357456894,1,0.7617606603267327,1,1,1,0.29154555911612856,0.18017988557188117,315,0.07140285953756954
11440267201681189e3,3,12595,12544.33817349234,1,0,1,0,0.11094879874156123,0,0.2503711830008678,0,0,1,0,1,0.8567575971139416,1,0.6767538695934074,1,0,1,0.28099808663541403,0.1372996890176601,333,0.08721483832145835
136997523322341e5,3,12645,12553.52429657885,1,0,1,0,0.09283973267951678,0,0.20648837095961467,0,0,1,0,1,0.852768832680502,1,0.6725375761342202,1,1,1,0.26789304542735715,0.12195959847165996,332,0.0888603116986922
17849857623809577e3,7,12612,12555.118820019145,0.8381323218345642,0,0.8381323218345642,0,0.08755687072048562,0,0.1960344096662194,0,0,1,0,1,0.8027274437845046,1,0.5583189670573425,1,0,0,0.271863640755289,0.1309997715243129,332,0.06771869635962494
4486621736790789e3,7,12612,12556.876972098473,1,0,1,0,0.1112962181929948,0,0.24872285283130152,0,0,1,0,1,0.8621001476095805,1,0.6918238081361937,1,1,1,0.27542195361768196,0.143486086259828,331,0.0718422740389685
15669462528722278e3,2,12595,12557.099729129412,1,0,1,0,0.10892038238651586,0,0.24131498511495267,0,0.04980544745922088,1,0.04980544745922088,1,0.8304914445235801,1,0.6244508727806906,1,1,1,0.2597120765081978,0.14412096452013723,336,0.08058182776195284
1686956066918641200,1,12645,12564.840637281724,0.9824063181877136,0,0.9824063181877136,0,0.0927694110387516,0,0.2063319659310166,0,0,1,0,1,0.8130751479301576,1,0.5842533462584532,1,1,1,0.2682817739690482,0.14217936746385554,333,0.09080775728721806
12325177004376349e3,2,12662,12573.07794864726,1,0,1,0,0.11114060096007834,0,0.24837508214556664,0,0,1,0,1,0.8632975322727098,1,0.6944997025572737,1,1,1,0.27278103567805934,0.13097700936559295,332,0.0771135698637266
13253e15,4,12628,12574.721479305008,1,0,1,0,0.0746077231330473,0,0.17042744598039206,0,0,1,0,1,0.8715665061630902,1,0.7066176072156861,1,1,1,0.29491314819386083,0.1525568151496932,316,0.07226937215324061
849042e13,5,12670,12585.434116852835,1,0,1,0,0.07300898776923072,0,0.16749120723529423,0,0,1,0,1,0.8853234871495728,1,0.7369185881666667,1,0,0,0.3074943230035992,0.08988924421908802,317,0.12704206075252553
9380732602589082e3,1,12662,12589.950184305337,1,0,1,0,0.09678624241158007,0,0.21342607301015137,0,0,1,0,1,0.8601119929072696,1,0.6915290100006466,1,1,1,0.26805448092208817,0.13206697582053073,332,0.09940053593665564
6743744306563797e3,2,12662,12590.916909550877,0.8735637664794922,0,0.8735637664794922,0,0.10075240484271848,0,0.22379516473913588,0,0,1,0,1,0.8059757000978192,1,0.5690256701287836,1,0,1,0.267491674844372,0.13858087700526606,332,0.07776820115133515
972909e13,2,12670,12600.498815176006,0.722407877,0,0.722407877,0,0.07430413816956534,0,0.16432645941346152,0,0,1,0,1,0.82069256035217375,1,0.6034547007788462,1,0,1,0.26266962227804874,0.1941292390296672,317,0.06046389549939546
10419879221391935e3,3,12695,12611.813669554836,1,0,1,0,0.10673052601832685,0,0.23626671998928725,0,0,1,0,1,0.8702588052844848,1,0.7127951330656557,1,1,1,0.2691163771698389,0.1502711024193497,332,0.07542369165936248
12702044508946735e3,3,12679,12615.61950246307,1,0,1,0,0.11769360751783373,0,0.2585235652314803,0,0,1,0,1,0.8218152360548541,1,0.608602698000832,1,1,1,0.2669430447155672,0.11865232281969916,334,0.07072038765095222
508450525573018500,2,12679,12616.155328476343,1,9.613183792680502e-4,1,0.01496910024434328,0.08932507213461419,6.706872413498024e-5,0.19645425046649584,0.002568602035141953,0,1,0,1,0.8145712423030024,1,0.5875808665015063,1,0,1,0.08553258256486061,0.12269375611369844,316,0.0653188164812282
