"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint","distToNext","LAP_DISTANCE_TOTAL","LAP_DISTANCE_PERC"
"4951","LEFT",18118509207215331328,883,135.047500610352,449.06689453125,2.89444875717163,352.394651903407,428.52077927338,TRUE,FALSE,TRUE,523.010987017015,1.65867375686459,20.3285450295196,0.0223848277227867
"4952","LEFT",18118509207215331328,884,136.628051757812,447.52978515625,2.8848340511322,350.192485279299,426.370428654463,TRUE,FALSE,TRUE,523.539949231799,2.20473290002507,22.5332779295447,0.0248125748178274
"5416","LEFT",18118509207215331328,885,137.816619873047,446.373596191406,2.87936592102051,348.536274958111,424.753498556635,TRUE,FALSE,TRUE,523.943736528181,1.6581517080708,24.1914296376155,0.0266384526792046
"268","LEFT",18118509207215331328,886,139.007293701172,445.215393066406,2.87239360809326,346.877174034744,423.134052450401,TRUE,FALSE,TRUE,524.35315527317,1.66106551458442,25.8524951521999,0.0284675390858432
"393","LEFT",18118509207215331328,887,140.594207763672,443.670288085938,2.85697937011719,344.664902507475,420.974947818729,TRUE,TRUE,TRUE,524.907773824439,2.21486921564903,28.067364367849,0.0309064478099457
"394","LEFT",18118509207215331328,888,141.786590576172,442.50927734375,2.84026122093201,343.002626583124,419.352976689201,TRUE,TRUE,TRUE,525.330301927097,1.66424839342575,29.7316127612747,0.0327390390515059
"4843","LEFT",18118509207215331328,889,142.979461669922,441.347869873047,2.82455801963806,341.339746795944,417.730740353137,TRUE,TRUE,TRUE,525.757865935903,1.66487499810327,31.396487759378,0.0345723202803592
"269","LEFT",18118509207215331328,890,144.172302246094,440.187194824219,2.81260371208191,339.677443529805,416.109473718746,TRUE,TRUE,TRUE,526.189725043814,1.6643422752349,33.0608300346129,0.0364050149001061
"4844","LEFT",18118509207215331328,891,145.368347167969,439.023742675781,2.80485439300537,338.010944517487,414.484481697928,TRUE,TRUE,TRUE,526.627371526221,1.66857554723986,34.7294055818527,0.0382423709978092
"270","LEFT",18118509207215331328,892,146.564025878906,437.861328125,2.79842329025269,336.345475380889,412.860908844264,TRUE,TRUE,TRUE,527.069203256173,1.66758962807319,36.3969952099259,0.0400786414481792
"4845","LEFT",18118509207215331328,893,148.161544799805,436.308624267578,2.79055309295654,334.12058548614,410.692554173537,TRUE,TRUE,TRUE,527.666845126967,2.22776928147447,38.6247644914004,0.0425317551117251
"3100","LEFT",18118509207215331328,894,149.359512329102,435.145050048828,2.78562140464783,332.452759042093,409.067603984041,TRUE,TRUE,TRUE,528.120041803009,1.67003927013389,40.2948037615343,0.0443707229915193
"271","LEFT",18118509207215331328,895,150.560928344727,433.978088378906,2.78037929534912,330.780126163435,407.438310349423,TRUE,TRUE,TRUE,528.579485583032,1.67487312405059,41.9696768855849,0.0462150136815295
"4846","LEFT",18118509207215331328,896,152.162567138672,432.422912597656,2.77136826515198,328.550720837054,405.267283432986,TRUE,TRUE,TRUE,529.199136234133,2.23244676013949,44.2021236457244,0.0486732779622958
"351","LEFT",18118509207215331328,897,153.365753173828,431.255126953125,2.76365065574646,326.876334221478,403.637221006101,TRUE,TRUE,TRUE,529.669904483202,1.67671701451625,45.8788406602406,0.0505195990568605
"3101","LEFT",18118509207215331328,898,154.569000244141,430.088073730469,2.75739765167236,325.202467447132,402.008129407892,TRUE,TRUE,TRUE,530.144880284156,1.67625079768149,47.5550914579221,0.0523654067756026
"45","LEFT",18118509207215331328,899,155.774520874023,428.919189453125,2.75383710861206,323.525737147135,400.376666728954,TRUE,TRUE,TRUE,530.625305389607,1.67915765873685,49.234249116659,0.0542144153915975
"5123","LEFT",18118509207215331328,900,156.981185913086,427.749755859375,2.7507700920105,321.847851721609,398.744526452611,TRUE,TRUE,TRUE,531.110569553168,1.68036170114852,50.9146108178075,0.056064749841877
