"LAP_DISTANCE","LAP_TIME","WORLDPOSX","WORLDPOSY","THROTTLE","BRAKE","GEAR","LATERAL","SPEED_KPH","ENGINE_RPM","STEERING"
10,208.267695933271,124.696203635506,453.249930947188,0.380741753933345,0,5,0.30874309163746,192,10329,0.00987550947367048
20,417.322706792815,132.047671800781,446.460469096184,0.313156719662761,0,4,0.291959051413469,184,10455,0.00603276280353887
30,625.587552081754,139.22041726109,439.50758739637,0.321534381763459,0,4,0.292256669171136,185,10498,0.000352654744931348
40,832.919645965178,146.394811419209,432.539827386581,0.33131603304836,0,4,0.293406071376391,186,10544,-0.000945147846468835
50,1039.55290576897,153.58587840199,425.560945614323,0.337800262242595,0,4,0.294989241551595,187,10595,-0.00333558390189035
60,1245.04063206641,160.775909281749,418.608521073592,0.33932333140424,0,4,0.29555174574254,187,10627,-0.00502473424022776
70,1450.34800083085,167.951552076311,411.637880538684,0.346761319215948,0,4,0.29752168102519,188,10676,-0.00872675209188615
80,1655.5752710589,175.228856107403,404.770575690428,0.353338709898185,0,4,0.288396240916413,189,10708,-0.00834486259026992
90,1860.094266633,182.507740861971,397.904802550213,0.34704456117178,0,4,0.279219716719954,189,10735,-0.0077115756555503
100,2064.13469861931,189.70855236756,390.955304015083,0.342664454018072,0.000187617931859655,4,0.27922909997353,190,10781,0.00502655670076413
110,2267.0295547489,197.108891937666,384.227431237228,0.358466905418781,0,4,0.259020473306256,191,10647,0.0164749803542865
120,2469.12753376322,204.263018910867,377.219528896465,0.344871163624351,0.000159636745992927,4,0.26763311698123,192,10692,0.0138688393738922
130,2669.22858908995,211.442358676918,370.281136993983,0.342869485044441,9.61318e-05,5,0.271839358229011,192,10549,-0.0108447568575027
140,2868.44532121165,218.63306393765,363.360478501581,0.348145040040682,6.14442906039738e-05,5,0.273536381377189,193,10579,-0.0184012441878047
150,3067.67936698136,225.904210152395,356.487037175532,0.345471221751618,5.72335972778952e-05,5,0.266787027474375,194,10610,-0.00705379564892861
160,3265.85300440426,233.195189236939,349.683101074872,0.34389886306572,1.60107816778325e-05,5,0.253553255612689,194,10633,0.00841700045726448
170,3464.7656341423,240.50815942597,342.836236169122,0.288870127145365,0.000980121723848705,5,0.240985044149995,195,10635,0.00672372753561827
180,3663.53345385722,247.788552869039,335.962137430912,0.282685030953215,0.00871170380774582,5,0.232377678750126,195,10654,0.0120416871782552
190,3861.60933927154,255.022231277205,329.040591187373,0.274467306794065,0.00808394135737684,5,0.230011682925677,195,10650,0.0184485904682379
200,4059.06328237111,262.18635373407,322.056109143084,0.260309210335296,0.0120045763240001,5,0.235521694227293,195,10655,0.0134818930799963
210,4257.152279029,269.297677429483,315.018409474087,0.195719942746172,0.0174315656654465,5,0.246260552223733,194,10603,-0.0158436156939483
220,4457.01155287219,276.473216305843,308.049395089037,0.131698493704419,0.125385767343673,5,0.249758980666355,191,10452,-0.0257884977361604
230,4658.00466909383,283.686057270473,301.164894596774,0.0571571069778691,0.141314183234974,4,0.246942984926339,187,10480,-0.00629159612136169
240,4865.4113198095,290.997822780034,294.278655288698,0.0247904387105336,0.186402075343091,4,0.239948053897616,181,9995,0.0205886209080442
250,5078.43546158968,298.122218338665,287.253573051885,0.0421483518617392,0.148111590067485,4,0.24934677821336,174,9770,0.0118029473241947
260,5296.93881222102,305.299966533382,280.288803046292,0.0940885117876467,0.121016196964633,4,0.253129825358016,170,9670,-0.00531700109887293
270,5520.38446030921,312.074904371155,272.916634075381,0.109975181488206,0.195121386124017,4,0.293489112122871,166,9459,-0.00399830362398268
280,5750.63479359172,319.272922359243,265.989966967369,0.130965064177826,0.169108754911515,4,0.29260092936829,161,9347,0.00811666758742383
290,5989.24020748841,326.630291170583,259.240769681624,0.109951437124547,0.212335305146602,4,0.276213109656242,155,9396,0.0186892476434704
300,6238.32690611484,333.554108776333,252.023866022288,0.0574752590189987,0.164863074879657,4,0.299013504743634,148,9498,0.0116149512912736
310,6502.92909652717,340.310947316359,244.66669942545,0.00973811382329501,0.172193441347513,4,0.333830277055314,139,9029,-0.015308455518039
320,6784.02965501352,347.144117795771,237.367193944271,0.0237931066897784,0.105299008099683,3,0.366641230155759,132,8729,-0.0127679487703084
330,7076.39741705906,354.238885564317,230.306151385772,0.0475789072225857,0.129250477424407,3,0.377789464523312,127,8803,0.0617932315253709
340,7381.69882399671,360.636729137269,222.487923831606,0.0343667351040292,0.284485115025731,3,0.441864523870038,119,8919,0.140085945120476
350,7712.38630410624,367.228012385209,214.96402079906,0.0638627048085206,0.315446536158837,3,0.478726404217801,107,8008,0.175266979957612
360,8084.93651207868,372.611542313166,206.34617236847,0.0844817326304737,0.158159480756607,2,0.61296860467963,95,7855,0.24856313127202
370,8429.13463430742,376.810918442236,198.869897412444,0.250140891869751,0.0330773361609496,2,0.719970241954842,93,8067,0.343138767125167
380,8637.58632622154,379.235778879991,194.110869845464,0.320782201417629,0.0269516706297636,2,0.728221972314518,99,8322,0.410908821830895
390,8808.02545763395,381.271993577297,189.611724178519,0.181953798113368,0.339475068359946,3,0.646807988402595,104,7931,0.583958330857028
400,9094.52518163022,380.965579161415,182.388916812196,0.0525255759178698,0.398496320098423,2,0.523466539487006,91,7680,0.658557913897082
410,9570.845145683,378.791132736045,171.90276592384,0.204342020983894,0.287790919451706,2,0.285470528996853,81,7473,0.468609893238606
420,10047.3088165007,375.121112145769,162.214374332288,0.344289037074709,0.0260194157321635,2,0.220366037750448,80,7816,-0.108533090329828
