SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3,apex1_speed,apex1_lateral,apex1_brake,apex1_throttle,apex2_speed,apex2_lateral,apex2_brake,apex2_throttle
6231027125348401e3,3,12445,12360.639212916789,0.724299967288971,0,0.724299967288971,0,0.08482011549385955,0,0.18540326130073698,0,0,1,0,1,0.8289325833551558,1,0.626073876891359,1,0,1,0.2580461491386944,0.09898411363119926,333,0.06739801423078459,0.0012663273837225082,0.056050571632411325,0.08050614497078179,0.0802603012706078,151,0,0.026697312588401696,0,901,0,0.1592998585572843,0,11310,1,0.814002828854314,1,172,0.9306231751933454,0,0.573830246925354,214,0.1918944584751602,0,1
1253024774587304700,2,12479,12384.947430307517,0.8391699194908142,0,0.8391699194908142,0,0.0852624503662808,0,0.18773383566887544,0,0,1,0,1,0.8237167757237333,1,0.611853451134825,1,0,0,0.26475824413810584,0.10663040723090442,332,0.0811661224365055,7.059145164845837e-4,0.06935707704350541,0.09907095788528555,0.09572856526912489,234,0,0.04302261445118588,0,801,0,0.14726971869829011,0,11361,1,0.809707666850524,1,171,0.871911735600244,0,0.4600734412670136,209,0.10765704553075808,0,1
4131079224770729500,4,12445,12386.021764273191,0.9600366353988647,0,0.9600366353988647,0,0.09987743597030778,0,0.2211571796485388,0,0,1,0,1,0.8279910144178315,1,0.6191229604966273,1,0,1,0.2679435706855991,0.15413324248340418,333,0.08010851544950706,6.885686500622838e-4,0.06673983228186747,0.08759159469425012,0.09624406534909044,450,0,0.08027113806635748,0,1752,0,0.31252229753835176,0,10210,1,0.6072065643952907,1,166,0.9637858367703706,0,0.3775234520435333,206,0.12044397410485394,0,1
6231027125348401e3,2,12445,12390.988251512768,0.9340555667877196,0,0.9340555667877196,0,0.09002996293166934,0,0.19935206077726808,0,0,1,0,1,0.8386122165398014,1,0.6426413366238454,1,0,1,0.2800409805049,0.10823841459878113,333,0.07430887167357443,5.740272167945728e-4,0.062111999338415,0.0790871064100491,0.08942222895377443,150,0,0.026761819803746655,0,751,0,0.13398751115075824,0,11494,1,0.8392506690454951,1,167,0.9090769776589156,0,0.3680628538131714,203,0.12384175035402437,0,1
1233432842830075e4,2,12479,12433.889646648911,0.8725261092185974,0,0.8725261092185974,0,0.09032941281584332,0,0.20851742958423675,0,0,1,0,1,0.8046948533676761,1,0.5491554091758505,1,0,0,0.27651308189207024,0.1790901877417954,327,0.06587869950069783,0.0032215503144005547,0.040857477905666816,0.17393887930896584,0.07565050615211726,701,0,0.13088125466766243,0,1051,0,0.19622852875280059,0,10661,1,0.672890216579537,1,184,1.9007979584960433,0.1796666830778122,0.3333333134651184,201,-0.0610347079946261,0,0.5484099388122559
11767999155862376e3,1,12528,12467.796672294837,1,0,1,0,0.10473075550794596,0,0.22967270944724996,0,0,1,0,1,0.8614362179040908,1,0.6961320568072167,1,1,1,0.28006226216881874,0.14379176401815771,331,0.08003265035622145,0.0015942803276527361,0.06495459115649448,0.12417420293675775,0.09691229348664648,200,0,0.03505082369435682,0,650,0,0.11391517700665965,0,11645,1,0.8510339992989835,1,171,0.9499241162687682,0.1826888769865036,0.3333333134651184,212,0.2829780990852963,0,1
10851171156448092e3,7,12528,12479.384049134182,1,0,1,0,0.09950071116946803,0,0.2173305007122591,0,0,1,0,1,0.8315995340964882,1,0.6321779297370657,1,1,1,0.2540408185381277,0.1635351670589965,331,0.07134661262193034,0.0015053625114396021,0.05961084885242621,0.10819583637719442,0.08662301416394728,900,0,0.15772870662460567,0,1652,0,0.2895198037153873,0,9910,1,0.552751489660007,1,169,0.9220972466064306,0,0.5843595266342163,211,0.11924580933458308,0,1
4131079224770729500,3,12529,12482.453649103973,1,0,1,0,0.08707092115169326,0,0.19018122251553984,0,0,1,0,1,0.8151659350767436,1,0.5962834897728864,1,0,1,0.26214347643183356,0.13088595763624064,332,0.07404967764384869,6.974168843059987e-4,0.06082455740066598,0.10441466314290328,0.08950923871619251,500,0,0.08762705923589205,0,1603,0,0.2809323519102699,0,10343,1,0.631440588853838,1,168,1.0146866499518858,0,0.32709237933158875,206,0.13944130887552297,0,1
104547e14,1,12562,12493.22453493586,1,0,1,0,0.07956644748017638,0,0.17707434880392142,0,0,1,0,1,0.8871618615903086,1,0.7488798292254901,1,0,1,0.29043267506273485,0.16507426375925785,315,0.06518774787794043,5.7170295474218e-4,0.05672811711423239,0.018599761050236724,0.07817615705726878,416,0,0.07420620763467713,0,501,0,0.08936853371387798,0,11595,1,0.8364252586514449,1,178,0.8728273953254874,0,1,218,0.18905894322415084,0,1
149031e14,1,12545,12497.765968974836,1,0,1,0,0.08854247054385954,0,0.19599692508737876,0,0,1,0,1,0.9254385964912282,1,0.8349514563106796,1,1,1,0.29337660356658996,0.14956494053765293,317,0.06727627942112138,3.8922678826812824e-4,0.057149942847775574,0.17187742227096273,0.08159863411403512,67,0,0.011953612845673506,0,50,0,0.008920606601248885,0,12345,1,0.9791257805530776,1,178,0.8908972919941196,0,1,217,0.05400303386391802,0,1
17962844060030706e3,1,12545,12508.089737179524,1,0,1,0,0.11774587634205821,0,0.25376266453029783,0,0,1,0,1,0.8706078886836768,1,0.7211376911286131,1,1,1,0.26618761493048665,0.11433659643145268,332,0.07611774717470808,3.695847564951018e-4,0.0679976746449558,0.0689860236110099,0.09338019171453192,300,0,0.05167068549776094,0,200,0,0.03444712366517396,0,11995,1,0.9138821908370651,1,162,0.9287776074284488,0,1,211,0.15887712162145992,0,1
12092e15,1,12587,12510.656081850851,1,0,1,0,0.09667880147345123,0,0.21633078349504956,0,0,1,0,1,0.885825403756637,1,0.7445202103861388,1,1,1,0.3071345886188364,0.11598374498493222,317,0.06515146475927819,3.901872877317691e-4,0.05290649241240267,0.1258062423567748,0.07818317548230089,166,0,0.02965874575665535,0,167,0,0.029837412899767733,0,12171,1,0.9405038413435769,1,158,0.9164268389408023,0,1,218,0.2674854536789594,0,1
12092e15,3,12562,12514.061548508458,1,0,1,0,0.07779192827753303,0,0.1731251737156864,0,0,1,0,1,0.864525537136564,1,0.6985029110784313,1,0,1,0.2905161426392493,0.12848584600982807,318,0.06633763514243692,6.569950236957815e-4,0.05482371505605358,0.10455241087902507,0.07923042136563875,333,0,0.05905302358574215,0,401,0,0.07111189927292073,0,11762,1,0.8698350771413371,1,170,1.0129870578100653,0.253166109,0.333333313,215,0.16509105617410968,0,1
146505e14,4,12604,12515.911692602846,1,0,1,0,0.09149747843805328,0,0.204736931950495,0,0,1,0,1,0.8783959526415929,1,0.7278958940297029,1,0,0,0.30218491672446296,0.07782099871467837,318,0.08729247003960436,7.338588809387351e-4,0.07655887432288641,0.07761713094319847,0.09968462363318582,334,0,0.05957902247591866,0,417,0,0.07438458794149126,0,11770,1,0.8660363895825901,1,162,1.0706206628053232,0.251887739,0.333333313,211,0.1700955792991782,0,1
1686956066918641200,7,12561,12519.14036977348,0.991927981376648,0,0.991927981376648,0,0.10532924376428143,0,0.2289766168788721,0,0,1,0,1,0.8425034562796352,1,0.6576162093035555,1,1,1,0.2696633619169322,0.18188942102597305,332,0.08939229997167328,6.299668376003839e-4,0.07855121341934593,0.08254372739541202,0.107638967000821,400,0,0.06949270326615706,0,1601,0,0.2781445448227936,0,10494,1,0.6523627519110493,1,159,0.903285466754448,0,0.5220874547958374,209,0.1013409650900782,0,1
4131079224770729500,5,12562,12521.996771288606,0.7712062001228333,0,0.7712062001228333,0,0.0943657287787044,0,0.20710354634618358,0,0,1,0,1,0.8088865340537118,1,0.580565136684253,1,0,1,0.27383406921048564,0.14407167203615784,331,0.07724010079654357,7.243707790003829e-4,0.06520832015154492,0.09152940571593728,0.09422396844239553,600,0,0.10608203677510608,0,2152,0,0.38048090523338046,0,9744,1,0.5134370579915134,1,162,0.9422841077823808,0,0.4451361894607544,197,0.08360655888726791,0,0.95631343126297
146505e14,3,12587,12527.45996893885,1,0,1,0,0.06973731957268728,0,0.1583037154300001,0,0,1,0,1,0.8899165880572689,1,0.75011065489,1,0,0,0.2774038599766697,0.11766870197111803,317,0.13350204225554443,6.967741055330687e-4,0.12169151092009522,0.08371658527069975,0.15880306124669602,267,0,0.048203646867665643,0,567,0,0.10236504784257086,0,11687,1,0.8494313052897635,1,176,0.9263688734337672,0,0.5026052,202,0.02025158636010865,0,1
10419879221391935e3,2,12606,12535.681545675036,1,0,1,0,0.10922058719206615,0,0.23838580334963994,0,0,1,0,1,0.8653356494359757,1,0.7060804174646087,1,1,1,0.27355556245230855,0.1200047611791159,330,0.07284393663765673,5.845567867283951e-4,0.06331154178062484,0.12489009438700267,0.08979158768158108,250,0,0.043736878936319105,0,450,0,0.07872638208537439,0,11840,1,0.8775367389783065,1,170,0.9713137176290892,0.17861799895763397,0.3333333134651184,209,0.206644346971887,0,1
103535e14,2,12628,12535.75501107248,1,0,1,0,0.0811892321096492,0,0.17971985360194184,0,0,1,0,1,0.887105448991228,1,0.7500974987378642,1,1,1,0.2874139583571151,0.2071815154946511,315,0.06529785507000124,2.1502843289279903e-4,0.05710986296421831,0.14363704723702633,0.07922022926754384,351,0,0.061698013710669714,0,601,0,0.10564246792054843,0,11610,1,0.8326595183687818,1,174,0.9286626557287624,0,0.477044463,215,0.17692710784886703,0,1
13253e15,5,12579,12538.58691854206,1,0,1,0,0.0796460176991149,0,0.17821782178217813,0,0,1,0,1,0.893530206606195,1,0.7617606603267327,1,1,1,0.29154555911612856,0.18017988557188117,315,0.07089645679419977,2.4305090211092853e-5,0.06296847569066544,0.08069170120885658,0.08651729788893803,417,0,0.0743978590544157,0,601,0,0.1072256913470116,0,11495,1,0.8183764495985727,1,179,0.8946653174133198,0,0.941398382,214,0.296164790581867,0,1
11440267201681189e3,3,12595,12544.33817349234,1,0,1,0,0.11362226377147785,0,0.2503711830008678,0,0,1,0,1,0.853305972948012,1,0.6767538695934074,1,0,1,0.28099808663541403,0.1372996890176601,333,0.08674988840332756,0.002648559498859786,0.07436189169060094,0.11505173503483022,0.10602651667222986,400,0,0.07072135785007072,0,401,0,0.0708981612446959,0,11711,1,0.8583804809052333,1,162,0.9016165080097784,0,0.8915541172027588,205,-0.02603122477807496,0,1
136997523322341e5,3,12645,12553.52429657885,1,0,1,0,0.09505020250521938,0,0.20648837095961467,0,0,1,0,1,0.8492633286967048,1,0.6725375761342202,1,1,1,0.26789304542735715,0.12195959847165996,332,0.08813570567613571,8.427867893777933e-4,0.07784732656755972,0.14567982044922037,0.10686131643827457,100,0,0.017274140611504576,0,951,0,0.16427707721540855,0,11544,1,0.8184487821730869,1,165,0.9178239316774376,0,0.763836145401001,212,0.16266781451026532,0,1
17849857623809577e3,7,12612,12555.118820019145,0.8381323218345642,0,0.8381323218345642,0,0.08968375826835137,0,0.1960344096662194,0,0,1,0,1,0.7979353978845333,1,0.5583189670573425,1,0,0,0.271863640755289,0.1309997715243129,332,0.06736229990237338,2.7533270596092973e-4,0.05877327133181293,0.0800621673636045,0.08304385961410037,402,0,0.06985230234578628,0,2152,0,0.3739357080799305,0,10008,1,0.5562119895742832,1,172,0.8908112976149066,0,0.3026474416255951,195,0.3014689830742196,0,0.9594262838363647
4486621736790789e3,7,12612,12556.876972098473,1,0,1,0,0.11395668556015813,0,0.24872285283130152,0,0,1,0,1,0.8588037367954675,1,0.6918238081361937,1,1,1,0.27542195361768196,0.143486086259828,331,0.07076695180132944,0,0.06215751121213751,0.13589244373717224,0.08830000699842842,200,0,0.03484320557491289,0,350,0,0.06097560975609756,0,11996,1,0.9041811846689896,1,162,0.8611723011917586,0,1,210,0.1893127535767671,0,1
15669462528722278e3,2,12595,12557.099729129412,1,0,1,0,0.11152405686587433,0,0.24131498511495267,0,0.04980544745922088,1,0.04980544745922088,1,0.8264394471815149,1,0.6244508727806906,1,1,1,0.2597120765081978,0.14412096452013723,336,0.07990316247020249,0.0016674252191723924,0.07088524379510253,0.1245890709757826,0.09727638816113475,951,0,0.16379607302790217,0,1902,0,0.32759214605580433,0,9692,1,0.5086117809162934,1,157,0.8838812885916035,0,0.4454108476638794,207,0.18828045497479223,0,1
