"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint"
"5243","RIGHT",14023301428294604800,849,162.785766601562,403.6787109375,2.66514992713928,300.481069167501,375.352872186748,TRUE,TRUE,TRUE,550.095823019472
"5244","RIGHT",14023301428294604800,850,164.034301757812,402.468811035156,2.65312433242798,298.74265582032,373.656265875307,TRUE,TRUE,TRUE,550.65151842131
"5415","RIGHT",14023301428294604800,851,165.693267822266,400.858032226562,2.63841915130615,296.430553626238,371.399899711961,TRUE,TRUE,TRUE,551.400352499477
"5416","RIGHT",14023301428294604800,852,166.940826416016,399.64453125,2.63180184364319,294.690293067877,369.701720280246,TRUE,TRUE,TRUE,551.971170895439
"5417","RIGHT",14023301428294604800,853,168.188140869141,398.429138183594,2.6304018497467,292.948870589606,368.00248271987,TRUE,TRUE,TRUE,552.548701434505
"5418","RIGHT",14023301428294604800,854,169.434219360352,397.213714599609,2.63099217414856,291.208302893534,366.304290080137,TRUE,TRUE,TRUE,553.131655203979
"5419","RIGHT",14023301428294604800,855,171.095840454102,395.590881347656,2.62504386901855,288.885815987517,364.038653780157,TRUE,TRUE,TRUE,553.918471651784
"5420","RIGHT",14023301428294604800,856,172.343399047852,394.372131347656,2.61205101013184,287.141853849475,362.337806494208,TRUE,TRUE,TRUE,554.515166172214
"5390","RIGHT",14023301428294604800,857,173.592330932617,393.151428222656,2.59609842300415,285.395541157983,360.634986364488,TRUE,TRUE,TRUE,555.117921999694
"5391","RIGHT",14023301428294604800,858,175.250259399414,391.529602050781,2.57869029045105,283.076384403578,358.374026447248,TRUE,TRUE,TRUE,555.926786088481
"5392","RIGHT",14023301428294604800,859,176.496109008789,390.309875488281,2.5706479549408,281.332945549891,356.674674903902,TRUE,TRUE,TRUE,556.541114665379
"5393","RIGHT",14023301428294604800,860,177.741714477539,389.090637207031,2.5637104511261,279.590025539938,354.976294681668,TRUE,TRUE,TRUE,557.159871556541
"5394","RIGHT",14023301428294604800,861,178.987319946289,387.870910644531,2.55465054512024,277.84676156266,353.277937485755,TRUE,TRUE,TRUE,557.783837080805
"1945","RIGHT",14023301428294604800,862,180.230651855469,386.653625488281,2.54166626930237,276.106832581126,351.583300948029,TRUE,TRUE,TRUE,558.411198498202
"1946","RIGHT",14023301428294604800,863,181.476287841797,385.434387207031,2.52556538581848,274.363894299167,349.886226288324,TRUE,TRUE,TRUE,559.044168777749
"1947","RIGHT",14023301428294604800,864,183.132080078125,383.814392089844,2.50324368476868,272.047552539707,347.631649949224,TRUE,TRUE,TRUE,559.892200789418
"4907","RIGHT",14023301428294604800,865,184.373672485352,382.600036621094,2.48818182945251,270.310928767744,345.941930757692,TRUE,TRUE,TRUE,560.53317049212
"4908","RIGHT",14023301428294604800,866,185.613922119141,381.388000488281,2.47623109817505,268.57689563754,344.255357602725,TRUE,TRUE,TRUE,561.177152445358
"4909","RIGHT",14023301428294604800,868,187.267166137695,379.773742675781,2.46449398994446,266.266418048727,342.009074662082,TRUE,TRUE,TRUE,562.041473036155
"4910","RIGHT",14023301428294604800,869,188.505462646484,378.565765380859,2.45810341835022,264.536639380497,340.328098500655,TRUE,TRUE,TRUE,562.693167155268
"4911","RIGHT",14023301428294604800,870,189.745697021484,377.356903076172,2.45246291160583,262.804866387972,338.645838863295,TRUE,TRUE,TRUE,563.349517336361
"4912","RIGHT",14023301428294604800,871,191.394866943359,375.751892089844,2.44351100921631,260.503816026213,336.411752622236,TRUE,TRUE,TRUE,564.227064385392
"4913","RIGHT",14023301428294604800,872,192.630722045898,374.550048828125,2.4349844455719,258.780107916918,334.738951565583,TRUE,TRUE,TRUE,564.889076390871
"4914","RIGHT",14023301428294604800,873,194.279647827148,372.948944091797,2.42409157752991,256.482000156169,332.509925380828,TRUE,TRUE,TRUE,565.777057534215
"2010","RIGHT",14023301428294604800,874,195.514755249023,371.751434326172,2.41718935966492,254.761891862719,330.842436602223,TRUE,TRUE,TRUE,566.445727724487
"2011","RIGHT",14023301428294604800,875,196.748397827148,370.556945800781,2.41027212142944,253.044959325866,329.178832800459,TRUE,TRUE,TRUE,567.116532491893
"2012","RIGHT",14023301428294604800,876,198.393646240234,368.965606689453,2.39966702461243,250.756372914443,326.962471346928,TRUE,TRUE,TRUE,568.016415920357
"1932","RIGHT",14023301428294604800,877,199.625411987305,367.775299072266,2.39040637016296,249.043733134582,325.304719143198,TRUE,TRUE,TRUE,568.694212911362
"1933","RIGHT",14023301428294604800,878,200.85807800293,366.584869384766,2.38086175918579,247.330374825564,323.6469696079,TRUE,TRUE,TRUE,569.37615568792
"1934","RIGHT",14023301428294604800,879,202.087646484375,365.397857666016,2.37194561958313,245.621627965777,321.99433369807,TRUE,TRUE,TRUE,570.060304057544
"1935","RIGHT",14023301428294604800,880,203.321334838867,364.207427978516,2.36414074897766,243.907555863862,320.337234075349,TRUE,TRUE,TRUE,570.750538819687
"1936","RIGHT",14023301428294604800,881,204.958312988281,362.627624511719,2.35474634170532,241.633005045414,318.139176758179,TRUE,TRUE,TRUE,571.673271729837
"1937","RIGHT",14023301428294604800,882,206.184585571289,361.444030761719,2.34758186340332,239.929020130032,316.493178052453,TRUE,TRUE,TRUE,572.369589402125
"1938","RIGHT",14023301428294604800,883,207.821319580078,359.864440917969,2.33826613426208,237.654806937479,314.297348666221,TRUE,TRUE,TRUE,573.30538754908
"4915","RIGHT",14023301428294604800,884,209.047149658203,358.681335449219,2.33167672157288,235.951490944206,312.65345968371,TRUE,TRUE,TRUE,574.011226061562
"2655","RIGHT",14023301428294604800,885,210.272903442383,357.498229980469,2.32464551925659,234.248233537176,311.010252774369,TRUE,TRUE,TRUE,574.721273003277
"2656","RIGHT",14023301428294604800,887,211.907333374023,355.921081542969,2.31321239471436,231.97739731014,308.820561885563,TRUE,TRUE,TRUE,575.674144588624
"2657","RIGHT",14023301428294604800,888,213.132965087891,354.738464355469,2.30330920219421,230.274583607319,307.179378534264,TRUE,TRUE,TRUE,576.39346889974
"2658","RIGHT",14023301428294604800,889,214.360000610352,353.554443359375,2.29319357872009,228.569789797076,305.536952471851,TRUE,TRUE,TRUE,577.117800579458
"2659","RIGHT",14023301428294604800,890,215.999252319336,351.972778320312,2.28140711784363,226.292373916202,303.343946976086,TRUE,TRUE,TRUE,578.091784104394
"2660","RIGHT",14023301428294604800,891,217.228942871094,350.786010742188,2.27418828010559,224.583772974477,301.699443375111,TRUE,TRUE,TRUE,578.827491849254
