SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,validLap,valid4wheels,d0_speed,d0_throttle,d0_brake,d0_lateral,d0_steering,d10_speed,d10_throttle,d10_brake,d10_lateral,d10_steering,d20_speed,d20_throttle,d20_brake,d20_lateral,d20_steering,d30_speed,d30_throttle,d30_brake,d30_lateral,d30_steering,d40_speed,d40_throttle,d40_brake,d40_lateral,d40_steering,d50_speed,d50_throttle,d50_brake,d50_lateral,d50_steering,d60_speed,d60_throttle,d60_brake,d60_lateral,d60_steering,d70_speed,d70_throttle,d70_brake,d70_lateral,d70_steering,d80_speed,d80_throttle,d80_brake,d80_lateral,d80_steering,d90_speed,d90_throttle,d90_brake,d90_lateral,d90_steering,d45_speed,d45_throttle,d45_brake,d45_lateral,d45_steering
6231027125348401e3,3,12445,12360.639212916789,0,1,313,1,0,0.18499543418564637,0.00392374861985445,323,1,0,0.10766547621865814,0.00319131556898355,330,1,0,0.07967349872904841,-0.00664418935775756,285,0,0.724299967288971,0.11801015018021928,2.615832781884819e-4,173,0.24332034587860107,0,0.693367953687347,0.4268515110015869,196,1,0,0.04002070496954719,-0.1748945713043213,233,1,0,0.5506072255051704,-0.10876631736755372,261,1,0,0.9506299788990008,0.00486544799059629,284,1,0,0.8695134290542732,0.00810907967388629,300,1,0,0.7500459860479334,0.01334074418991804,173,1,0,0.40593816417618145,0.2588104605674744
1253024774587304700,2,12479,12384.947430307517,0,0,312,1,0,0.14526215579519364,-0.00172644853591918,322,1,0,0.12271042860001884,-0.00340056419372558,329,1,0,0.12167838911423504,0.00277278223074972,301,0,0.7817349433898926,0.1077298861104702,0.00360984844155609,174,0.22029447555541992,0,0.6614998823060808,0.4913056194782257,190,1,0,-0.04936581624663244,-0.1894385814666748,226,1,0,0.3905658895350032,-0.1593042016029358,259,1,0,0.9095624695954,0.05362456291913986,282,1,0,0.876778990318984,0.01899094320833683,299,1,0,0.7855044833738651,0.0044469148851931,170,1,0,0.35552198347319264,0.5162083506584167
4131079224770729500,4,12445,12386.021764273191,0,1,311,1,0,0.34156036524734035,-0.00883495807647705,322,1,0,0.28407537933537463,-0.00270086526870727,329,1,0,0.19489251074195857,-0.00416570901870727,309,0,0.7582055330276489,0.15560459810627844,-0.00498968362808227,169,0.19447623193264008,0.12185855209827424,0.7493100055724266,0.4783245623111725,189,0.964110791683197,0,-0.01970684729720848,-0.19523918628692627,229,1,0,0.4943434317628771,-0.12346077710390092,258,1,0,0.8214748589773426,0.05781643837690353,282,1,0,0.8876648904556099,0.01826504990458488,298,1,0,0.7062864005670433,0.01753261685371399,164,0.6167391538619995,0,0.4104392145271675,0.4463721513748169
6231027125348401e3,2,12445,12390.988251512768,0,1,312,1,0,0.1809684705275896,0.00235424912534654,322,1,0,0.14496056353081854,-0.00141257047653198,329,1,0,0.13550109032763016,-0.00151717674452811,313,0,0.730693519115448,0.10496910909724612,0.01909557729959488,172,0,0,0.7357439431789686,0.45604416728019714,187,1,0,0.05673661040167312,-0.2351633310317993,226,1,0,0.4478431474327368,-0.1285420060157776,258,1,0,0.8588272391266212,0.0480789989233017,282,1,0,0.8686148703768576,0.01627047918736934,298,1,0,0.7679115520335232,0.00978321302682161,168,0.8543373942375183,0,0.4180483147148157,0.4473596513271332
1233432842830075e4,2,12479,12433.889646648911,0,0,297,1,0,0.3943319630144356,0.01836314424872398,310,1,0,0.41840463222665986,-0.01208513975143432,321,1,0,0.28707509476903337,0.00371448183432221,310,0,0.6252384185791016,0.20491132162624504,0.13408756256103516,185,0.3333333134651184,0.17964699864387512,1.7748289590861237,0.01857241056859493,194,0.5862858295440674,0,0.03041163189448954,-0.03949904441833496,210,1,0,0.35093122111297437,-0.2523231506347656,244,1,0,0.7150017201976391,-0.02955889701843261,271,1,0,0.8628141146244047,0.03395350277423858,291,1,0,0.7821175095760692,0.0939083769917488,182,0.3333333134651184,0.17831400036811829,1.6633913904227076,-0.01302683353424072
11767999155862376e3,1,12528,12467.796672294837,1,1,309,1,0,0.20269545673335487,-0.01370727736502885,320,1,0,0.17955900975553296,0,328,1,0,0.17841668639667885,0,302,0,1,0.1379823846125167,0,172,0.5638834834098816,0,0.725330822007618,0.4225425124168396,194,1,0,0.06371099163262024,-0.1894615888595581,228,1,0,0.5872952268438979,-0.18449380993843079,258,1,0,0.823295234642977,0,282,1,0,0.7278814724628839,0.04105070233345032,298,1,0,0.8242145717109609,0,171,1,0,0.4666200608774496,0.3510291576385498
10851171156448092e3,7,12528,12479.384049134182,1,1,310,1,0,0.24638720161455327,-0.00273138284683227,320,1,0,0.1951697840523936,-0.00602734088897705,328,1,0,0.12351053525059408,0.00642406940460205,298,0.01855497062206268,0.8332036137580872,0.15313196654617278,-0.00196844339370727,168,0.5948576927185059,0,0.6960067452609511,0.40901803970336914,192,1,0,0.01332131822526069,-0.13862818479537964,231,1,0,0.4929078477373569,-0.16246283054351807,261,1,0,0.7864230577996749,0.02284276485443115,283,1,0,0.655952615967687,0.02406346797943115,299,1,0,0.7557326465323235,0.00502026081085205,169,0.6102540493011475,0,0.4166833812194735,0.35643553733825684
4131079224770729500,3,12529,12482.453649103973,0,1,311,1,0,0.2567906672066529,0.00398260494694113,321,1,0,0.24210066078321185,-0.00581365823745727,329,1,0,0.1843343811441139,-0.00416570901870727,297,0,0.9750057458877563,0.12986022902631283,0.01313801854848861,171,0.2719615399837494,0,0.7951822412923243,0.3341268002986908,189,1,0,-0.02936909719796659,-0.18159759044647217,228,1,0,0.5943959368331513,-0.15147632360458374,257,1,0,0.8202350233999655,0.05488670244812965,281,1,0,0.7792323300115838,-3.204345703125e-4,297,1,0,0.748523088369291,0.01432822272181511,167,0.575661838054657,0,0.4875031613618152,0.4083772003650665
104547e14,1,12562,12493.22453493586,0,1,297,1,0,0.15776314414811493,0,306,1,0,0.13728204792500565,0,311,1,0,0.17166068199110066,0,302,0,1,0.16223256227398422,0,177,1,0,0.6527612361890596,0.35504895400000003,206,1,0,0.01095573023011657,-0.191520557,234,1,0,0.440470929062433,-0.162537426,261,1,0,0.9974971021619232,0,280,1,0,0.8315911733828645,4.99576e-4,293,1,0,0.749362371144407,0,182,1,0,0.3714116617877715,0.344296366
149031e14,1,12545,12497.765968974836,1,1,301,1,0,0.19403361881172285,0.006836338,308,1,0,0.19292411360186737,-0.017343517,313,1,0,0.14473795057428818,0.001134554,307,0,1,0.15042537759141297,0,174,1,0,0.69394090464137,0.361025065,206,1,0,0.0296762409545251,-0.312361091,233,1,0,0.4276996435648661,-0.210037351,259,1,0,0.9076276926866208,0,279,1,0,0.7347438127209087,0,292,1,0,0.6031177576954466,0.006901144,183,1,0,0.3865616183332116,0.343955517
